1a,1b,2,3
,,Esig,"4,6"
,,Zsig Ri T,"4,7"
,,Alternativer Laufweg Ri H,
110,130,,"6,8"
,,<b>Freital-Potschappel Bf,"6,9"
,,Asig,"6,9"
,,¥,"6,9"
120,140,,"7,4"
,,<b>Freital-Deuben Hp,"8,8"
100,110,,"9,3"
,,<b>Freital-Hainsberg Hp,"10,1"
,,Sbk 5065,"10,9"
120,130,,"11,4"
,,<b>Freital-Hainsberg West Hp,"11,6"
120,140,Esig,"12,4"
,,,
90,100,,"13,2"
,,<b>Tharandt Bf,"13,6"
,,Asig,"13,6"
,,¥,"14,2"
60,60,,"14,2"
,,,
80,90,,"14,5"
,,,
60,60,,"17,1"
,,,
70,80,,"17,8"
,,<b>Edle Krone Hp,"18,0"
,,Sbk 53101,"18,0"
,,Tunnel Edle Krone <,"18,1"
,,>,"18,2"
90,90,,"21,3"
,,Sbk 53103,"21,8"
,100,,"23,6"
,,Esig,"24,4"
120,140,,"25,4"
,,<b>Klingenberg-Kolmnitz Bf,"25,4"
,,Asig,"25,5"
,,¥,"25,8"
,,Sbk 53107,"30,8"
,,<b>Niederbobritzsch Hp,"31,0"
90,100,,"31,4"
,,,
70,80,,"35,2"
,,Bksig,"35,4"
,,<b>Niederbobritzsch Üst,"35,7"
,,¥,"36,1"
90,100,,"37,1"
,,,
100,110,,"38,1"
,,Esig,"38,6"
,,<b>Freiberg (Sachs) Bf,"40,1"
,,Asig,"40,3"
,,¥,"40,8"
120,140,,"44,2"
,,Sbk 5633,"45,0"
,,<b>Kleinschirma,"45,3"
,,Bksig,"49,0"
,,<b>Frankenstein Hp,"49,8"
,,<b>Frankenstein Üst,"49,9"
,,¥,"50,0"
100,110,,"51,3"
,,,
110,130,,"52,0"
,,Sbk 5745,"52,9"
90,100,,"55,0"
,,Esig,"55,7"
,,Asig,"57,0"
,,¥,"57,2"
,,<b>Oederan Bf,"57,3"
80,90,,"60,3"
,,Sbk 5755,"60,8"
120,140,,"61,1"
,,Sbk 5757,"63,1"
,,,"64,6"
,,,"63,6"
80,90,,"64,6"
,,<b>Falkenau (Sachs),"64,7"
,,Esig,"66,3"
,,<b>Flöha Bf,"67,3"
,,Asig,"67,3"
,,¥,"68,9"
120,140,,"68,9"
,,,
90,100,,"70,1"
