1a,Betriebsstelle,Lage
120,<b>Coswig (b. Dresden),"102,0"
,Asig,"102,1"
,,"102,8"
,,"<l>34,0"
,¥,"33,8"
,<b>Radebeul Zitzschewig Hp,"32,8"
,Bksig,"32,6"
,<b>Radebeul Nord Üst,"32,2"
,¥,"32,1"
,<b>Radebeul Kötzschenbroda Hp,"31,0"
,Bksig,"30,2"
,<b>Radebeul Weintraube Hp,"29,1"
,Esig,"27,9"
,<b>Radebeul Ost Bf,"27,2"
,Asig,"26,8"
120,¥,"26,2"
,<b>Dresden Trachau Hp,"25,4"
,<b>Dresden Pieschen Hp,"23,8"
,Bksig,"22,5"
70,,"22,1"
,<b>Dresden Bischofsplatz Hp,"21,7"
,Esig,"21,6"
80,,"21,6"
,<b>Dresden Neustadt Bf,"20,9"
,Asig,"20,7"
,¥,"20,3"
,Esig,"19,8"
,<b>Dresden Mitte Bft,"19,3"
,Zsig,"19,1"
,<b>Dresden Freiberger Str. Bft,"18,3"
80,Zsig,"18,2"
,Zsig,"17,5"
,<b>Dresden Hbf,"17,0"
