1a,Betriebsstelle,Lage
40,<b>Aschaffenburg Hbf,"0,0"
,Asig,"0,3"
90,¥,"0,8"
,<b>Aschaffenburg Hochs. Hp,"1,7"
,Esig,"1,9"
100,,"2,2"
,<b>Aschaffenburg Süd Bf,"2,7"
,Zsig,"2,9"
,Asig,"3,9"
80,,"4,2"
,¥,"4,4"
100,,"5,1"
120,,"5,5"
,<b>Obernau Hp,"7,3"
,<b>Sulzbach Hp,"9,3"
120,Esig,"13,8"
,<b>Kleinwallstadt Bf,"14,6"
100,Asig,"14,8"
,¥,"14,9"
120,,"15,3"
,Esig,"17,8"
,<b>Obernburg-Elsenfeld Bf,"18,6"
,Asig,"18,8"
,¥,"X,X"
,<b>Glanzstoffwerke Hp,"X,X"
,<b>Erlenbach Hp,"X,X"
90,,"X,X"
,<b>Wörth (Main) Hp,"X,X"
,Esig,"X,X"
,<b>Klingenberg Bf,"X,X"
90,Asig,"X,X"
,¥,"26,2"
,<b>Laudenbach (Main) Hp,"30,3"
,Esig,"X,X"
,<b>Kleinheubach Hp,"X,X"
,Asig,"X,X"
,¥,"X,X"
,Esig,"X,X"
60,Zsig,"X,X"
,Zsig,"X,X"
,<b>Miltenberg Bf,"X,X"
