1a,1b,Betriebsstelle,Lage
80,80,Chemnitz,"79,7"
,,Asig Ri F,"79,7"
,,¥,"78,6"
100,100,,"78,6"
,,,"2,8"
,,Sbk 4276,"0,8"
,,Chemnitz-Hilbersdorf Hp,"0,5"
110,130,<b>GNT-Anfang,"0,0"
,,,"76,0"
120,140,,"75,5"
,,Sbk 6772,"75,0"
,,Esig,"72,5"
100,120,,"72,0"
,,Niederwiesa Bf,"71,3"
,,Asig,"71,2"
,,¥,"71,0"
90,100,,"70,9"
,,,
120,140,,"70,1"
,,Esig,"68,3"
80,90,,"67,9"
,,Flöha Bf,"67,1"
,,Asig,"67,1"
,,¥,"66,7"
90,100,,"66,0"
,,,
100,110,,"65,6"
,,,
120,140,,"64,9"
,,Falkenau (Sachs) Hp,"64,4"
,,Sbk 5760,"62,2"
,,,"63,6"
,,,"64,6"
,,Sbk 5760,"62,2"
80,90,,"61,1"
,,,
,100,,"60,4"
,,,"59,0"
,,Esig,"57,8"
,,Oederan Bf,"57,2"
,,Asig,"56,6"
,,¥,"56,4"
90,,,"56,4"
,,,
110,130,,"55,0"
,,Sbk 5746,"53,3"
100,110,,"52,5"
,,,
120,140,,"51,3"
,,Bksig,"50,3"
,,Frankenstein Üst,"49,3"
,,¥,"49,4"
,,Frankenstein Hp,"49,5"
,,Sbk 5634,"45,5"
,,Kleinschirma Hp,"45,2"
100,110,,"44,2"
,,Esig,"41,1"
,,Freiberg (Sachs) Bf,"39,7"
,,Asig,"39,4"
,,¥,"38,9"
90,100,,"38,1"
,,,
70,80,,"37,1"
,,Bksig,"36,5"
,,Muldenhütten Üst,"36,2"
,,¥,"36,0"
,,Muldenhütten Hp,"35,7"
90,100,,"35,1"
,,Bksig,"31,6"
120,140,,"31,4"
,,Niederbobritzsch Üst,"31,2"
,,¥,"31,1"
,,Niederbobritzsch,"30,9"
,,Esig,"26,2"
90,100,,"25,8"
,,Klingenberg-Colmnitz Bf,"25,4"
,,Asig,"25,0"
,,¥,"24,7"
80,90,,"23,5"
,,,
90,100,,"21,9"
,,Sbk 53102,"21,3"
70,80,,"19,2"
,,Sbk 53100,"18,4"
,,Tunnel Edle Krone <,"18,2"
,,>,"18,1"
,,Edle Krone Hp,"17,9"
90,100,,"17,1"
,,,
60,80,Esig,"14,5"
,,,
110,130,,"14,2"
,,Tharandt Bf,"13,6"
,,Asig,"13,6"
,,¥,"13,2"
120,140,,"13,2"
,,Freital-Hainsberg West Hp,"11,5"
100,110,,"11,5"
,,Sbk 5268,"11,4"
,,Freital-Hainsberg Hp,"10,0"
,,Sbk 5048,"9,9"
120,140,,"9,3"
,,Freital-Deuben Hp,"8,9"
,,Esig,"8,0"
,,Freital-Potschappel Bf,"6,8"
100,110,,"6,8"
,,Asig,"6,2"
,,¥,"5,6"
,,Sbk 5028,"4,1"
70,80,,"4,0"
,,Dresden-Plauen Hp,"2,9"
70,70,Esig,"2,2"
,,<b>GNT-Ende,"2,0"
,,Zsig Ri D,"1,2"
40,40,\/ Zsig,"0,8"
,,1.) Zs 13,
,,Dresden Hbf,"0,0"
