1a,Betriebsstelle,Lage
80,Dresden Hbf,"17,0"
,Zsig,"16,2"
,Zsig,"18,0"
,Dresden Freiberger Str. Bft,"18,3"
,Zsig,"18,4"
,Dresden Mitte Bft,"19,3"
,Asig,"19,4"
,¥,"19,5"
,Esig,"20,2"
,Dresden Neustadt Bf,"20,9"
,Asig,"21,2"
,¥,"21,4"
,Dresden Bischofsplatz Hp,"21,7"
,Bksig,"21,8"
120,,"22,2"
120,Dresden Pieschen Hp,"23,8"
,Bksig,"23,9"
,Dresden Trachau Hp,"25,4"
,Esig,"25,9"
,Radebeul Ost Bf,"26,4"
,Asig,"27,3"
,¥,"27,3"
,Radebeul Weintraube Hp,"29,1"
,Bksig,"29,2"
,Radebeul Kötzschenbroda Hp,"31,0"
,Bksig,"31,8"
,Radebeul Nord Üst,"32,2"
,¥,"32,3"
,Radebeul Zitzschewig Hp,"32,8"
,Esig,"33,3"
120,Zsig,"34,0"
,Coswig (b. Dresden),"34,5"
,Asig,"35,0"
